,date,Open,High,Low,Close_x,Volume,label_up5,label_up2,label_down5,label_down2
0,2015-01-01,318.24,321.36,313.54,314.89,4073067.1,False,False,False,False
1,2015-01-02,314.89,316.4,313.08,315.21,4673971.8,False,False,False,False
2,2015-01-03,315.21,315.83,284.89,287.13,14209564.7,False,False,True,True
3,2015-01-04,287.13,289.94,255.87,264.72,24255392.1,False,False,True,True
4,2015-01-05,264.72,278.32,262.89,274.84,14995382.75,True,True,False,False
5,2015-01-06,274.84,285.11,271.52,282.27,6097640.43,False,True,False,False
6,2015-01-07,282.27,296.06,280.74,291.34,8827164.0,False,True,False,False
7,2015-01-08,291.34,292.71,278.99,282.69,5796312.29,False,False,False,True
8,2015-01-09,282.69,290.59,277.28,287.97,5963203.51,False,True,False,False
9,2015-01-10,287.97,289.25,271.98,273.35,4147357.05,False,False,True,True
10,2015-01-11,273.35,278.01,263.76,264.77,4122751.52,False,False,False,True
11,2015-01-12,264.77,273.08,263.3,269.33,6899315.98,False,True,False,False
12,2015-01-13,269.33,269.1,217.1,221.29,22745960.68,False,False,True,True
13,2015-01-14,221.29,230.86,157.29,164.92,32911586.21,False,True,True,True
14,2015-01-15,164.92,231.26,164.55,209.78,25672423.81,True,True,False,False
15,2015-01-16,209.78,222.63,198.72,206.92,13208882.23,True,True,True,True
16,2015-01-17,206.92,212.59,191.71,199.65,8685194.65,False,True,True,True
17,2015-01-18,199.65,220.73,192.51,210.62,8429486.11,True,True,False,True
18,2015-01-19,210.62,219.48,205.47,215.87,6744459.25,False,True,False,True
19,2015-01-20,215.87,216.57,203.42,210.55,7926400.72,False,False,True,True
20,2015-01-21,210.55,229.32,207.11,228.17,9390361.66,True,True,False,False
21,2015-01-22,228.17,238.78,225.57,232.7,12508308.9,False,True,False,False
22,2015-01-23,232.7,236.97,224.84,232.17,8855407.23,False,False,False,True
23,2015-01-24,232.17,248.88,229.58,248.16,8011743.34,True,True,False,False
24,2015-01-25,248.16,256.43,241.36,252.09,12509649.52,False,True,False,True
25,2015-01-26,252.09,310.91,251.5,269.18,29806496.64,True,True,False,False
26,2015-01-27,269.18,276.9,247.26,263.27,13130803.27,False,True,True,True
27,2015-01-28,263.27,267.66,228.06,236.17,15880595.92,False,False,True,True
28,2015-01-29,236.17,241.51,220.36,233.99,12723448.2,False,True,True,True
29,2015-01-30,233.99,244.83,227.19,231.84,11316575.19,False,True,False,True
30,2015-01-31,231.84,235.36,216.46,218.51,9645307.86,False,False,True,True
31,2015-02-01,218.51,231.44,209.71,225.29,9058010.18,True,True,False,True
32,2015-02-02,225.29,242.51,220.53,238.86,8965813.6,True,True,False,True
33,2015-02-03,238.86,247.48,223.91,227.41,15000263.95,False,True,True,True
34,2015-02-04,227.41,230.71,220.23,226.58,12495299.13,False,False,False,True
35,2015-02-05,226.58,229.85,214.35,216.52,9055713.16,False,False,True,True
36,2015-02-06,216.52,226.16,215.65,222.96,11628519.32,False,True,False,False
37,2015-02-07,222.96,231.0,222.38,227.68,9046632.13,False,True,False,False
38,2015-02-08,227.68,230.23,219.5,223.67,6564922.66,False,False,False,True
39,2015-02-09,223.67,225.0,215.66,220.34,20192733.61,False,False,False,True
40,2015-02-10,220.34,222.19,214.44,219.67,18877297.99,False,False,False,True
41,2015-02-11,219.67,223.53,217.28,218.83,15909377.35,False,False,False,False
42,2015-02-12,218.83,223.0,217.3,221.79,11084499.87,False,False,False,False
43,2015-02-13,221.79,241.58,220.62,236.17,26243104.7,True,True,False,False
44,2015-02-14,236.17,261.25,235.38,258.64,33313626.71,True,True,False,False
